"1,000,000,000",un milliard,un miliardo,eine Milliarde,mil millones,yī qiān wàn
"1,000,000,000,000",un billion,un bilione,eine Billion,un billón,yī zhào
23,vingt-trois,ventitré,dreiundzwanzig,veintitrés,èrshísān
37,trente-sept,trentasette,siebenunddreißig,treinta y siete,sānshíqī
45,quarante-cinq,quarantacinque,fünfundvierzig,cuarenta y cinco,sìshíwǔ
52,cinquante-deux,cinquantadue,zweiundfünfzig,cincuenta y dos,wǔshí'èr
66,soixante-six,sessantasei,sechsundsechzig,sesenta y seis,liùshíliù
71,soixante et onze,settantuno,einundsiebzig,setenta y uno,qīshíyī
84,quatre-vingt-quatre,ottantaquattro,vierundachtzig,ochenta y cuatro,bāshísì
91,quatre-vingt-onze,novantuno,einundneunzig,noventa y uno,jiǔshíyī
29,vingt-neuf,ventinove,neunundzwanzig,veintinueve,èrshíjiǔ
38,trente-huit,trentotto,achtunddreißig,treinta y ocho,sānshíbā
47,quarante-sept,quarantasette,siebenundvierzig,cuarenta y siete,sìshíqī
56,cinquante-six,cinquantasei,sechsundfünfzig,cincuenta y seis,wǔshíliù
64,soixante-quatre,sessantaquattro,vierundsechzig,sesenta y cuatro,liùshísì
73,soixante-treize,settantatré,dreiundsiebzig,setenta y tres,qīshísān
85,quatre-vingt-cinq,ottantacinque,fünfundachtzig,ochenta y cinco,bāshíwǔ
92,quatre-vingt-douze,novantadue,zweiundneunzig,noventa y dos,jiǔshí'èr
33,trente-trois,trentatré,dreiunddreißig,treinta y tres,sānshísān
48,quarante-huit,quarantotto,achtundvierzig,cuarenta y ocho,sìshíbā
57,cinquante-sept,cinquantasette,siebenundfünfzig,cincuenta y siete,wǔshíqī
63,soixante-trois,sessantatré,dreiundsechzig,sesenta y tres,liùshísān
284,deux cent quatre-vingt-quatre,duecentottantaquattro,zweihundertvierundachtzig,doscientos ochenta y cuatro,èrbǎi bāshí sì
9210,neuf mille deux cent dix,novemiladuecentodieci,neuntausendzweihundertzehn,nueve mil doscientos diez,jiǔqiān èrbǎi shí
"48,372",quarante-huit mille trois cent soixante-douze,quarantottomilatrecentosettantadue,achtundvierzigtausenddreihundertzweiundsiebzig,cuarenta y ocho mil trescientos setenta y dos,sìshíbā wàn sānbǎi qīshí'èr
"56,789",cinquante-six mille sept cent quatre-vingt-neuf,cinquantaseimilasettecentottantanove,sechundfünfzigtausendsiebenhundertneunundachtzig,cincuenta y seis mil setecientos ochenta y nueve,wǔshíliù wàn qībǎi bāshí jiǔ
"101,112",cent un mille cent douze,centounomilacentododici,hundertunderstausendeinhundertzwölf,ciento un mil ciento doce,yībǎi yīqiān yībǎi shí'èr
"234,567",deux cent trente-quatre mille cinq cent soixante-sept,duecentotrentaquattromilacinquecentosessantasette,zweihundertvierunddreißigtausendfünfhundertsiebenundsechzig,doscientos treinta y cuatro mil quinientos sesenta y siete,èrbǎi sānshísì wàn wǔbǎi liùshí qī
"876,543",huit cent soixante-seize mille cinq cent quarante-trois,ottocentosettantaseimilaquattrocentoquarantatré,achthundertsechsundsiebzigtausendfünfhundertdreiundvierzig,ochocientos setenta y seis mil quinientos cuarenta y tres,bābǎi qīshíliù wàn wǔbǎi sìshí sān
"999,999",neuf cent quatre-vingt-dix-neuf mille neuf cent quatre-vingt-dix-neuf,novecentonovantanovemilanovecentonovantanove,neunhundertneunundneunzigtausendneunhundertneunundneunzig,novecientos noventa y nueve mil novecientos noventa y nueve,jiǔbǎi jiǔshíjiǔ wàn jiǔbǎi jiǔshíjiǔ
"123,456,789",cent vingt-trois millions quatre cent cinquante-six mille sept cent quatre-vingt-neuf,centoventitremilioniquattrocentocinquantaseimilasettecentottantanove,einhundertdreiundzwanzig Millionen vierhundertsechsundfünfzigtausendsiebenhundertneunundachtzig,ciento veintitrés millones cuatrocientos cincuenta y seis mil setecientos ochenta y nueve,yībǎi èrshísān wàn liùbǎi qīshí qī
