Monday,lundi,lunedì,Montag,lunes,xīngqī yī
Eleven forty-five am,Onze heures quarante-cinq,Undici e quarantacinque,Elf Uhr fünfundvierzig,Once cuarenta y cinco,Zǎoshang shíyī diǎn sìshíwǔ fēn
Four ten pm,Seize heures dix,Sedici e dieci,Vier Uhr zehn,Cuatro y diez de la tarde,Xiàwǔ sì diǎn shí fēn
Nine oh-five pm,Vingt et une heures cinq,Ventuno e cinque,Neun Uhr fünf,Nueve y cinco de la noche,Wǎnshàng jiǔ diǎn wǔ fēn
Seven twenty am,Sept heures vingt,Sette e venti,Sieben Uhr zwanzig,Siete y veinte,Zǎoshang qī diǎn èrshí fēn
Five fifty pm,Dix-sept heures cinquante,Diciassette e cinquanta,Fünf Uhr fünfzig,Cinco y cincuenta de la tarde,Xiàwǔ wǔ diǎn wǔshí fēn
One thirty-three pm,Treize heures trente-trois,Tredici e trentatré,Dreizehn Uhr dreiunddreißig,Una y treinta y tres de la tarde,Xiàwǔ yī diǎn sānshísān fēn
Eleven o'clock pm,Vingt-trois heures,Ventitré,Dreiundzwanzig Uhr,Once en punto de la noche,Wǎnshàng shíyī diǎn
Twelve fifteen am,Zéro heure quinze,Zero e quindici,Null Uhr fünfzehn,Doce y cuarto de la madrugada,Lìngchén shí'èr diǎn shíwǔ fēn
Eight forty pm,Vingt heures quarante,Venti e quaranta,Zwanzig Uhr vierzig,Ocho cuarenta de la noche,Wǎnshàng bā diǎn sìshí fēn
Six oh-five pm,Dix-huit heures cinq,Diciotto e cinque,Achtzehn Uhr fünf,Seis y cinco de la tarde,Xiàwǔ liù diǎn wǔ fēn
Two twenty-two pm,Quatorze heures vingt-deux,Quattordici e ventidue,Vierzehn Uhr zweiundzwanzig,Dos veintidós de la tarde,Xiàwǔ èr diǎn èrshí'èr fēn
Five fifty-five am,Cinq heures cinquante-cinq,Cinque e cinquantacinque,Fünf Uhr fünfundfünfzig,Cinco cincuenta y cinco de la mañana,Zǎoshang wǔ diǎn wǔshíwǔ fēn
Nine thirty am,Neuf heures trente,Nove e trenta,Neun Uhr dreißig,Nueve y media de la mañana,Zǎoshang jiǔ diǎn bàn
Seven forty-five pm,Dix-neuf heures quarante-cinq,Diciannove e quarantacinque,Neunzehn Uhr fünfundvierzig,Siete cuarenta y cinco de la noche,Wǎnshàng qī diǎn sìshíwǔ fēn
Dawn,Aube,Alba,Morgendämmerung,Amanecer,Líxià
Dusk,Crépuscule,Crepuscolo,Abenddämmerung,Anochecer,Huánghūn
Midnight,Minuit,Mezzanotte,Mitternacht,Medianoche,Bànyè
Noon,Midi,Mezzogiorno,Mittag,Mediodía,Zhōngwǔ
Breakfast,Petit-déjeuner,Colazione,Frühstück,Desayuno,Zǎocān
Lunch,Déjeuner,Pranzo,Mittagessen,Almuerzo,Wǔcān
Dinner,Dîner,Cena,Abendessen,Cena,Wǎncān
